old_path,new_path,status,note
/classes,/classes/,301,""
/rates-extra-s,/fees/,301,""
/meet-the-principle,/teachers/,301,"Old URL reproduced the ""principle"" typo. The typo is not reproduced anywhere on the new site."
/downloads,/downloads/,301,""
/contact-us,/contact/,301,""
/about,/about/,301,""
/our-teachers,/teachers/,301,""
/menus,/menus/,301,""
/stationery-lists,/fees/#stationery,301,""
/enrollment-form,/admissions/enrolment/,301,"Old URL used the US spelling. The new route uses en-ZA."
/swimming-enrollment,/admissions/swimming/,301,""
/location,/location/,301,""
/gallery,/gallery/,301,""
/news-events,{{TODO_CONFIRM: the news and events posts are not recoverable from either capture. Confirm whether this section returns, or redirect to /gallery/}},301,""
/parent-tips,{{TODO_CONFIRM: the parent tips articles are not recoverable from either capture. Confirm whether this section returns, or retire the URL}},301,""
/kyalami-hills,{{TODO_CONFIRM: campus consolidation}},301,""
/kyalami-ah,{{TODO_CONFIRM: campus consolidation}},301,""
/lc-junior,{{TODO_CONFIRM: campus consolidation}},301,""
/branches,{{TODO_CONFIRM: campus consolidation}},301,""
/noordwyk,{{TODO_CONFIRM: campus consolidation}},301,""
